country,code,region,income_group,gdp_1993,pop_1993,gdp_2019,pop_2019
Afghanistan,AFG,South Asia,Low income,NA,15816603,21808863988,38041754
Albania,ALB,Europe & Central Asia,Upper middle income,4424049157,3227287,14872299622,2854191
Algeria,DZA,Middle East & North Africa,Upper middle income,90577610031,27635515,2.02E+11,43053054
American Samoa,ASM,East Asia & Pacific,Upper middle income,NA,51020,NA,55312
Andorra,AND,Europe & Central Asia,High income,1977109460,60971,3539838261,77142
Angola,AGO,Sub-Saharan Africa,Lower middle income,23103942844,13075049,99013511554,31825295
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,753949116.1,65777,1525166900,97118
Argentina,ARG,Latin America & Caribbean,Upper middle income,2.60E+11,33970111,4.38E+11,44938712
Armenia,ARM,Europe & Central Asia,Upper middle income,2977080327,3363108,13996188672,2957731
Aruba,ABW,Latin America & Caribbean,High income,1933189215,72504,NA,106314
Australia,AUS,East Asia & Pacific,High income,6.38E+11,17667000,1.45E+12,25365745
Austria,AUT,Europe & Central Asia,High income,2.76E+11,7905633,4.49E+11,8879920
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,13400638502,7495000,58937036212,10024283
"Bahamas, The",BHS,Latin America & Caribbean,High income,7031166906,271069,11259359316,389482
Bahrain,BHR,Middle East & North Africa,High income,11913546277,536210,34321808511,1641172
Bangladesh,BGD,South Asia,Lower middle income,48469317656,110350639,2.10E+11,163046161
Barbados,BRB,Latin America & Caribbean,High income,3431500000,263874,4621053250,287025
Belarus,BLR,Europe & Central Asia,Upper middle income,26086576310,10239000,63224483612,9417849
Belgium,BEL,Europe & Central Asia,High income,3.33E+11,10084475,5.47E+11,11502704
Belize,BLZ,Latin America & Caribbean,Upper middle income,707681899.8,197622,1619911044,390353
Benin,BEN,Sub-Saharan Africa,Low income,4713358588,5521763,14867185273,11801151
Bermuda,BMU,North America,High income,4478559301,58910,6025347992,64027
Bhutan,BTN,South Asia,Lower middle income,432890629.2,532596,2489357935,763092
Bolivia,BOL,Latin America & Caribbean,Lower middle income,10389682136,7312850,29702635314,11513100
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,NA,4078937,20808476283,3301000
Botswana,BWA,Sub-Saharan Africa,Upper middle income,5994895595,1399110,18643744000,2303697
Brazil,BRA,Latin America & Caribbean,Upper middle income,1.26E+12,156849078,2.35E+12,211049527
British Virgin Islands,VGB,Latin America & Caribbean,High income,NA,18786,NA,30030
Brunei Darussalam,BRN,East Asia & Pacific,High income,10397872754,281681,14006979905,433285
Bulgaria,BGR,Europe & Central Asia,Upper middle income,34380851288,8472313,63191572278,6975761
Burkina Faso,BFA,Sub-Saharan Africa,Low income,3827617544,9552476,16708316591,20321378
Burundi,BDI,Sub-Saharan Africa,Low income,1773903585,5798053,2399222285,11530580
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,393762420.2,366053,2148955357,549935
Cambodia,KHM,East Asia & Pacific,Lower middle income,5084948752,9970733,20920953618,16486542
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,13581815617,12864090,39288422139,25876380
Canada,CAN,North America,High income,1.03E+12,28684764,1.94E+12,37593384
Cayman Islands,CYM,Latin America & Caribbean,High income,NA,29069,NA,64948
Central African Republic,CAF,Sub-Saharan Africa,Low income,1280339574,3046149,1822841757,4745185
Chad,TCD,Sub-Saharan Africa,Low income,3046640667,6563922,12976290262,15946876
Channel Islands,CHI,Europe & Central Asia,High income,NA,142415,NA,172259
Chile,CHL,Latin America & Caribbean,High income,1.01E+11,13944937,2.86E+11,18952038
China,CHN,East Asia & Pacific,Upper middle income,1.18E+12,1178440000,1.15E+13,1397715000
Colombia,COL,Latin America & Caribbean,Upper middle income,1.65E+11,35091272,3.95E+11,50339443
Comoros,COM,Sub-Saharan Africa,Lower middle income,609533652.7,449274,1190720115,850886
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,17236043073,38815834,36767977989,86790567
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,7396387863,2559873,11654686638,5380508
