state,congressional_district,rep_win_prob,census_division
AK,1,0.498,9
AL,1,0.999975,6
AL,2,0.99995,6
AL,3,1,6
AL,4,1,6
AL,5,1,6
AL,6,1,6
AL,7,0.00015,6
AR,1,1,7
AR,2,0.999325,7
AR,3,0.99985,7
AR,4,1,7
AZ,1,0.93845,8
AZ,2,0.6537,8
AZ,3,0,8
AZ,4,0.074925,8
AZ,5,0.999675,8
AZ,6,0.9262,8
AZ,7,0.00635,8
AZ,8,1,8
AZ,9,1,8
CA,1,0.999425,9
CA,2,0,9
CA,3,0.96225,9
CA,4,0.00005,9
CA,5,0.998775,9
CA,6,0.014825,9
CA,7,0,9
CA,8,0,9
CA,9,0.224425,9
CA,10,0.0002,9
CA,11,0,9
CA,12,0,9
CA,13,0.3133,9
CA,14,0,9
CA,15,0,9
CA,16,0,9
CA,17,0,9
CA,18,0.000075,9
CA,19,0,9
CA,20,0.9999,9
CA,21,0.042125,9
CA,22,0.56905,9
CA,23,0.996725,9
CA,24,0.000425,9
CA,25,0.059175,9
CA,26,0.03,9
CA,27,0.63555,9
CA,28,0.000025,9
CA,29,0,9
CA,30,0,9
CA,31,0.00075,9
CA,32,0.000025,9
CA,33,0.0037,9
CA,34,0,9
CA,35,0.00185,9
CA,36,0,9
CA,37,0,9
CA,38,0.00245,9
CA,39,0.0047,9
CA,40,0.97935,9
CA,41,0.939725,9
CA,42,0,9
CA,43,0,9
CA,44,0,9
CA,45,0.80065,9
CA,46,0.0004,9
CA,47,0.189125,9
CA,48,0.994925,9
CA,49,0.1841,9
CA,50,0.00065,9
CA,51,0.0009,9
CA,52,0.000025,9
CO,1,0,8
CO,2,0.0002,8
CO,3,0.970175,8
CO,4,0.9995,8
CO,5,0.997175,8
CO,6,0.017775,8
CO,7,0.13235,8
CO,8,0.8804,8
CT,1,0.003175,1
CT,2,0.143725,1
CT,3,0.015075,1
CT,4,0.0044,1
CT,5,0.31545,1
DE,1,0.012675,5
FL,1,0.999075,5
FL,2,0.984325,5
FL,3,0.998025,5
FL,4,0.99765,5
FL,5,1,5
FL,6,0.999975,5
FL,7,0.994175,5
FL,8,0.9999,5
FL,9,0.048975,5
FL,10,0.001725,5
FL,11,0.999625,5
FL,12,1,5
FL,13,0.96945,5
FL,14,0.015225,5
FL,15,0.96995,5
FL,16,0.997675,5
FL,17,0.999575,5
FL,18,0.99995,5
FL,19,0.999925,5
FL,20,0,5
FL,21,0.997675,5
FL,22,0.014475,5
FL,23,0.057725,5
FL,24,0,5
FL,25,0.00685,5
FL,26,0.998525,5
FL,27,0.901175,5
FL,28,0.9922,5
GA,1,0.99885,5
GA,2,0.108,5
GA,3,1,5
GA,4,0,5
GA,5,0,5
GA,6,0.99955,5
GA,7,0.013925,5
GA,8,0.999975,5
GA,9,1,5
GA,10,0.999975,5
GA,11,0.9997,5
GA,12,0.999175,5
GA,13,0,5
GA,14,1,5
HI,1,0.0006,9
HI,2,0.001075,9
IA,1,0.93645,4
IA,2,0.9234,4
IA,3,0.60885,4
IA,4,0.99995,4
ID,1,1,8
ID,2,0.999925,8
IL,1,0,3
IL,2,0,3
IL,3,0,3
IL,4,0,3
IL,5,0.000075,3
IL,6,0.28245,3
IL,7,0,3
IL,8,0.019625,3
IL,9,0.00005,3
IL,10,0.006,3
IL,11,0.045375,3
IL,12,1,3
IL,13,0.1489,3
IL,14,0.21445,3
IL,15,1,3
IL,16,0.999875,3
IL,17,0.348125,3
IN,1,0.12695,3
IN,2,0.999475,3
IN,3,0.99995,3
IN,4,0.999975,3
IN,5,0.998925,3
IN,6,0.999975,3
IN,7,0.000625,3
