treatment,BaselineSteps,PostSteps,StepChange
0,21396,63511,42115
0,21340,37460,16120
0,23912,59136,35224
0,16862,59292,42430
1,147738,167895,20157
0,18780,49811,31031
1,41930,80323,38393
1,28993,63707,34714
0,78382,127817,49435
1,58500,81081,22581
0,99417,149211,49794
0,93231,98047,4816
0,83443,105094,21651
0,22008,26486,4478
0,27950,59514,31564
0,67589,100475,32886
0,32753,76724,43971
1,33044,70775,37731
0,104857,109961,5104
0,121699,137849,16150
1,16094,45489,29395
1,78182,122739,44557
0,21735,58693,36958
1,47473,68971,21498
0,121416,123661,2245
0,13604,31750,18146
0,125000,139801,14801
1,40463,70095,29632
1,34823,78262,43439
1,120296,137162,16866
1,79173,125933,46760
0,110372,142100,31728
1,26017,60347,34330
1,149000,177873,28873
1,15939,17025,1086
0,23949,27990,4041
0,119260,143890,24630
1,31600,33172,1572
1,80000,96440,16440
0,119420,162182,42762
0,91532,119830,28298
0,120927,130538,9611
1,116843,143167,26324
0,53962,98112,44150
1,67059,105702,38643
1,117216,118351,1135
1,43792,91238,47446
0,13781,54459,40678
1,42064,49235,7171
0,145271,167129,21858
1,58545,95608,37063
1,26545,52377,25832
1,50388,98369,47981
1,108263,132557,24294
1,40711,82311,41600
1,105099,139843,34744
1,37776,51717,13941
0,189000,197565,8565
1,144593,174019,29426
1,94162,112348,18186
1,78704,109065,30361
0,59970,89440,29470
0,86465,123221,36756
0,61791,94082,32291
0,73000,90287,17287
0,125683,163995,38312
0,194677,198762,4085
0,23929,30565,6636
1,140000,150928,10928
1,45000,65534,20534
0,14418,28096,13678
1,15643,60317,44674
0,73166,103756,30590
1,62500,90815,28315
0,42537,82832,40295
0,49732,87637,37905
1,68511,108435,39924
0,121183,133548,12365
1,108698,152103,43405
1,29783,64198,34415
1,96000,131817,35817
1,24091,28451,4360
0,55733,70102,14369
1,127000,165152,38152
1,130000,137606,7606
1,75409,81093,5684
0,61099,89389,28290
0,101658,136696,35038
1,140184,170694,30510
0,36169,59997,23828
0,41684,83436,41752
1,65359,81621,16262
1,167566,181690,14124
0,186740,207838,21098
1,25000,64152,39152
1,87892,126909,39017
0,69946,115257,45311
0,56136,96505,40369
1,50468,99285,48817
1,44668,67176,22508
1,57316,76622,19306
1,61424,97120,35696
0,111069,155135,44066
1,91258,103454,12196
0,160251,166627,6376
0,20500,36127,15627
1,11241,38298,27057
0,43191,56235,13044
0,16588,48888,32300
0,54860,66734,11874
1,96985,141240,44255
1,73811,116476,42665
1,94000,139018,45018
1,59179,67495,8316
1,88737,103166,14429
0,15883,53595,37712
0,85430,102716,17286
0,79651,115410,35759
0,94055,111152,17097
1,87122,106098,18976
1,88030,137644,49614
1,106250,121128,14878
0,85754,94842,9088
0,177719,212591,34872
0,49013,68209,19196
1,88658,99301,10643
0,27229,34091,6862
0,51767,89619,37852
0,37638,70445,32807
1,23701,55902,32201
0,56800,65906,9106
1,112557,127465,14908
0,24130,34746,10616
0,97695,122888,25193
0,45443,85022,39579
1,153379,156774,3395
1,80000,91432,11432
1,94000,108311,14311
